"","ICD9CM.1","Age","pm2p5","pm2p5_5","pm2p5_10","n"
"221"," 36441",20,16.7,15.45351,10.06978,1
"222"," 36500",53,7.368125,8.70325,8.709549375,2
"223"," 36520",48,41.1625,49.9975,39.7705,1
"224"," 36522",60.1666666666667,28.2218875,17.1331358333333,17.0688720833333,6
"225"," 36552",67,22.6375,8.82725,7.2220125,1
"226"," 3659",55.5,7.640625,11.1806325,11.81601625,2
"227"," 3679",53,2.53875,12.3295,14.2355,1
"228"," 36813",43.4,13.693,19.309605,20.69626,5
"229"," 3682",65,10.5584583333333,11.8033,18.728275,3
"230"," 36844",12,11.61125,9.251,8.76072375,1
"231"," 3688",42.3461538461538,16.8862110576923,16.0642841346154,15.6291736057692,26
"232"," 36900",82,10.9125,11.667575,13.6487875,1
"233"," 36920",12,8.3025,12.2928,8.9231625,1
"234"," 3698",51.2,13.2125,19.372667,15.9354785,5
"235"," 3699",59,23.43103125,18.490228125,21.2204890625,4
"236"," 37000",38.6666666666667,10.54625,12.2732741666667,12.4887245833333,3
"237"," 37021",32.75,9.21303125,10.92641875,11.3119296875,8
"238"," 37024",28,8.8975,24.04425,21.2185,1
"239"," 37040",34,10.2550416666667,15.3698666666667,17.334185,3
"240"," 3709",28.7333333333333,14.5713166666667,12.8055236666667,15.0736596666667,15
"241"," 37120",70,8.3175,6.9179475,7.20586125,1
"242"," 37123",55,6.664875,8.67475,10.4510625,1
"243"," 37140",37,14.9875,14.81225,15.609875,1
"244"," 37182",28.5,15.594,15.901105,16.8362275,10
"245"," 37200",25,9.91875,12.9555,11.5085,1
"246"," 37201",20,12.3125,10.75275,13.3175833333333,3
"247"," 37205",34,15.71375,16.80575,23.4174875,1
"248"," 37214",26.4838709677419,15.9468891129032,14.56487125,14.0038721572581,62
"249"," 37220",50,14.4,17.48235,17.057375,1
"250"," 37230",25.5,11.0987553571429,13.2294407142857,12.0948123214286,14
"251"," 37261",56,6.59125,8.1409,8.8800875,1
"252"," 37272",36.7391304347826,18.028722826087,16.9514767934783,15.9017929619565,46
"253"," 3729",51,15.28625,14.8621,13.27875,1
"254"," 37300",42.1111111111111,20.1331944444444,14.7340791666667,15.8596548611111,9
"255"," 37311",39.5789473684211,12.6583618421053,12.3886715789474,13.5956129605263,19
"256"," 37313",28.75,9.7409375,11.046475,12.224225,4
"257"," 3732",35.3214285714286,12.7330379464286,13.6982245535714,14.7481234821429,28
"258"," 37482",27,13.7168958333333,11.7699279166667,11.591750625,6
"259"," 37500",42,18.1875,30.2345,20.383875,1
"260"," 37515",36.9803921568627,11.4402264705882,13.3055269117647,13.4634388480392,51
"261"," 37530",52.5,6.0425,10.3477,11.08365,2
"262"," 37600",36,22,10.103625,17.4688125,1
"263"," 37611",21,4.14,11.076125,13.4804375,1
"264"," 37651",60,10.9125,11.667575,13.6487875,1
"265"," 37800",3,12.06,14.69405,15.746825,1
"266"," 37840",21,72.625,31.525,21.11125,1
"267"," 37887",24,15.4375,9.9133,8.4036125,1
"268"," 37900",18.8,21.001775,20.761345,19.15152,5
"269"," 37921",54.1428571428571,11.0407142857143,12.8109392857143,11.5270355357143,7
"270"," 37922",78,13.24125,17.218,11.83563,1
"271"," 37923",68,17.889375,15.1587583333333,18.89455,3
"272"," 37924",63.25,45.31875,26.1217875,21.60060625,4
"273"," 37990",29.6666666666667,11.6830833333333,9.45622166666667,10.2965441666667,3
"274"," 37991",37.25,18.7507986111111,18.7056491666667,16.4759845138889,36
"275"," 37992",24.695652173913,18.380772826087,16.9311165217391,17.7222532065217,23
"276"," 37993",37.3362831858407,15.5131956858407,15.2691131415929,15.3726966924779,113
"277"," 37999",42.4,17.93675,12.37649,11.57246725,5
"278"," 38003",60,7.56875,12.41,14.02828,1
"279"," 38010",29.7181818181818,14.8420898863636,15.7075185227273,15.8724825454545,110
"280"," 38011",33.5,12.169375,26.1155875,21.313975,2
"281"," 38030",31,3.0525,9.85225,19.738125,1
"282"," 3804",38.6197183098592,14.7974288732394,15.0022226408451,15.2127687852113,71
"283"," 38110",6,22.7575,13.517725,14.203775,1
"284"," 3814",27.875,9.56117890625,15.70025609375,16.847420234375,16
"285"," 38181",29,10.9839583333333,14.201875,13.3284041666667,3
"286"," 3824",7.33333333333333,17.248125,13.006775,11.91820625,6
